CPTCode,Total,OFF,FAC,TC27,PC26
80047,BR, , ,BR,BR
80048,$17.70, , , , 
80050,$47.07, , , , 
80051,$15.07, , , , 
80053,$18.64, , , , 
80055,$53.73, , , , 
80061,$34.34, , , , 
80069,BR, , ,BR,BR
80074,$102.87, , , , 
80076,BR, , ,BR,BR
80150,$38.77, , , , 
80155,BR, , ,BR,BR
80156,$34.34, , , , 
80157,BR, , ,BR,BR
80158,$51.50, , , , 
80159,BR, , ,BR,BR
80162,$32.67, , , , 
80163,BR, , , , 
80165,BR, , , , 
80164,$34.34, , , , 
80168,$38.77, , , , 
80169,BR, , ,BR,BR
80170,$34.34, , , , 
80171,BR, , ,BR,BR
80173,BR, , ,BR,BR
80175,BR, , ,BR,BR
80176,$34.34, , , , 
80177,BR, , ,BR,BR
80178,$19.94, , , , 
80180,BR, , ,BR,BR
80183,BR, , ,BR,BR
80184,$34.34, , , , 
80185,$32.67, , , , 
80186,$34.34, , , , 
80188,$38.77, , , , 
80190,$38.77, , , , 
80192,$51.50, , , , 
80194,$34.34, , , , 
80195,BR, , ,BR,BR
80197,BR, , ,BR,BR
80198,$32.67, , , , 
80199,BR, , ,BR,BR
80200,$38.77, , , , 
80201,BR, , ,BR,BR
80202,$34.34, , , , 
80203,BR, , ,BR,BR
80299,BR, , ,BR,BR
80300,BR, , ,BR,BR
80301,BR, , ,BR,BR
80302,BR, , ,BR,BR
80303,BR, , ,BR,BR
80304,BR, , ,BR,BR
80320,BR, , ,BR,BR
80321,BR, , ,BR,BR
80322,BR, , ,BR,BR
80323,BR, , ,BR,BR
80324,BR, , ,BR,BR
80325,BR, , ,BR,BR
80326,BR, , ,BR,BR
80327,BR, , ,BR,BR
80328,BR, , ,BR,BR
80329,BR, , ,BR,BR
80330,BR, , ,BR,BR
80331,BR, , ,BR,BR
80332,BR, , ,BR,BR
80333,BR, , ,BR,BR
80334,BR, , ,BR,BR
80335,BR, , ,BR,BR
80336,BR, , ,BR,BR
80337,BR, , ,BR,BR
80338,BR, , ,BR,BR
80339,BR, , ,BR,BR
80340,BR, , ,BR,BR
80341,BR, , ,BR,BR
80342,BR, , ,BR,BR
80343,BR, , ,BR,BR
80344,BR, , ,BR,BR
80345,BR, , ,BR,BR
80346,BR, , ,BR,BR
80347,BR, , ,BR,BR
80348,BR, , ,BR,BR
80349,BR, , ,BR,BR
80350,BR, , ,BR,BR
80351,BR, , ,BR,BR
80353,BR, , ,BR,BR
80353,BR, , ,BR,BR
80354,BR, , ,BR,BR
80355,BR, , ,BR,BR
80356,BR, , ,BR,BR
80357,BR, , ,BR,BR
80358,BR, , ,BR,BR
80359,BR, , ,BR,BR
80360,BR, , ,BR,BR
80361,BR, , ,BR,BR
80362,BR, , ,BR,BR
80363,BR, , ,BR,BR
80364,BR, , ,BR,BR
80365,BR, , ,BR,BR
80366,BR, , ,BR,BR
80367,BR, , ,BR,BR
80368,BR, , ,BR,BR
80369,BR, , ,BR,BR
80370,BR, , ,BR,BR
80371,BR, , ,BR,BR
80372,BR, , ,BR,BR
80373,BR, , ,BR,BR
80374,BR, , ,BR,BR
80375,BR, , ,BR,BR
80376,BR, , ,BR,BR
80377,BR, , ,BR,BR
80360,BR, , ,BR,BR
80360,BR, , ,BR,BR
80360,BR, , ,BR,BR
80400,$80.30, , , , 
80402,$148.43, , , , 
80406,$137.90, , , , 
80408,$184.99, , , , 
80410,$165.60, , , , 
80412,$411.52, , , , 
80414,$60.93, , , , 
80415,$60.93, , , , 
80416,BR, , ,BR,BR
80417,BR, , ,BR,BR
80418,"$1,145.38", , , , 
80420,$145.66, , , , 
80422,$90.83, , , , 
80424,$88.06, , , , 
80426,$214.34, , , , 
80428,$106.90, , , , 
80430,$130.16, , , , 
80432,$232.06, , , , 
80434,$153.97, , , , 
80435,$163.39, , , , 
80436,$150.66, , , , 
80438,$76.99, , , , 
80439,$96.93, , , , 
80500,$29.90, , , , 
80502,$88.62, , , , 
81000,$9.97, , , , 
81001,$7.76, , , , 
81002,$7.76, , , , 
81003,$7.76, , , , 
81005,$6.64, , , , 
81007,$10.53, , , , 
81015,$7.76, , , , 
81020,$7.76, , , , 
81025,$14.40, , , , 
81050,$6.64, , , , 
81099,BR, , ,BR,BR
81200 ,BR, , ,BR,BR
 , , , ,BR,BR
 , , , ,BR,BR
 , , , ,BR,BR
81205 ,BR, , ,BR,BR
81206 ,BR, , ,BR,BR
81207 ,BR, , ,BR,BR
81208 ,BR, , ,BR,BR
81209  ,BR, , ,BR,BR
81210 ,BR, , ,BR,BR
81211 ,BR, , ,BR,BR
81212 ,BR, , ,BR,BR
81213,BR, , ,BR,BR
81214,BR, , ,BR,BR
81215 ,BR, , ,BR,BR
81216 ,BR, , ,BR,BR
81217 ,BR, , ,BR,BR
81220 ,BR, , ,BR,BR
81221 ,BR, , ,BR,BR
81222 ,BR, , ,BR,BR
81223 ,BR, , ,BR,BR
81224 ,BR, , ,BR,BR
81225,BR, , ,BR,BR
81226 ,BR, , ,BR,BR
81227 ,BR, , ,BR,BR
81228 ,BR, , ,BR,BR
81229 ,BR, , ,BR,BR
81235 ,BR, , ,BR,BR
81240 ,BR, , ,BR,BR
81241 ,BR, , ,BR,BR
81242 ,BR, , ,BR,BR
81243 ,BR, , ,BR,BR
81244 ,BR, , ,BR,BR
81245,BR, , ,BR,BR
81246,BR, , ,BR,BR
81250 ,BR, , ,BR,BR
81251 ,BR, , ,BR,BR
81252,BR, , ,BR,BR
81253 ,BR, , ,BR,BR
81254,BR, , ,BR,BR
81255 ,BR, , ,BR,BR
81256 ,BR, , ,BR,BR
81257 ,BR, , ,BR,BR
81260 ,BR, , ,BR,BR
81261 ,BR, , ,BR,BR
81262 ,BR, , ,BR,BR
81263 ,BR, , ,BR,BR
81264,BR, , ,BR,BR
81265 ,BR, , ,BR,BR
81266 ,BR, , ,BR,BR
81267 ,BR, , ,BR,BR
81268 ,BR, , ,BR,BR
81270 ,BR, , ,BR,BR
81275 ,BR, , ,BR,BR
81280 ,BR, , ,BR,BR
81281 ,BR, , ,BR,BR
81282 ,BR, , ,BR,BR
81287,BR, , ,BR,BR
81288,BR, , ,BR,BR
81290,BR, , ,BR,BR
81291 ,BR, , ,BR,BR
81292 ,BR, , ,BR,BR
81293 ,BR, , ,BR,BR
81294 ,BR, , ,BR,BR
81295 ,BR, , ,BR,BR
81296 ,BR, , ,BR,BR
81297 ,BR, , ,BR,BR
81298 ,BR, , ,BR,BR
81299 ,BR, , ,BR,BR
81300,BR, , ,BR,BR
81301 ,BR, , ,BR,BR
81302 ,BR, , ,BR,BR
81303 ,BR, , ,BR,BR
81304 ,BR, , ,BR,BR
81310 ,BR, , ,BR,BR
81313,BR, , ,BR,BR
81315 ,BR, , ,BR,BR
81316 ,BR, , ,BR,BR
