CPTCode,Total,TC27,PC26
70010,374.52,243.44,131.08
70015,194.73,126.57,68.16
70030,42.06,25.24,16.82
70100,49.53,29.72,19.81
70110,61.74,37.04,24.70
70120,54.96,32.98,21.98
70130,80.73,48.44,32.29
70134,77.34,46.40,30.94
70140,55.64,33.38,22.26
70150,72.60,43.56,29.04
70160,48.18,28.91,19.27
70170,86.16,56.00,30.16
70190,57.66,34.60,23.06
70200,74.64,44.78,29.86
70210,53.61,32.17,21.44
70220,71.91,43.15,28.76
70240,44.10,26.46,17.64
70250,60.39,36.23,24.16
70260,86.85,52.11,34.74
70300,25.77,15.46,10.31
70310,40.71,24.43,16.28
70320,69.21,41.53,27.68
70328,47.49,28.49,19.00
70330,73.95,44.37,29.58
70332,179.12,116.43,62.69
70336,768.71,614.97,153.74
70350,39.36,23.62,15.74
70355,53.61,32.17,21.44
70360,42.06,25.24,16.82
70370,109.92,65.95,43.97
70371,207.60,124.56,83.04
70373,149.94,97.46,52.48
70380,57.00,34.20,22.80
70390,144.51,93.93,50.58
70450,367.05,256.93,110.12
70460,449.82,328.37,121.45
70470,548.88,411.66,137.22
70480,407.76,285.43,122.33
70481,473.58,345.71,127.87
70482,565.85,424.39,141.46
70486,394.20,275.94,118.26
70487,465.44,339.77,125.67
70488,563.13,422.35,140.78
70490,407.76,285.43,122.33
70491,473.58,345.71,127.87
70492,565.85,424.39,141.46
70496,685.33,506.93,178.40
70498,685.33,506.93,178.40
70540,818.93,655.14,163.79
70542,1059.18,943.25,115.93
70543,1901.96,1746.30,155.66
70544,913.77,793.74,120.03
70545,913.77,793.74,120.03
70546,1744.99,1566.71,178.28
70547,913.77,793.74,120.03
70548,913.77,793.74,120.03
70549,1744.99,1566.71,178.28
70551,818.93,655.14,163.79
70552,983.12,786.50,196.62
70553,1731.46,1385.17,346.29
70554,1108.05,921.14,186.91
70555,223.81,,
70557,282.61,,
70558,312.29,,
70559,313.19,,
71010,45.45,27.27,18.18
71015,52.23,31.34,20.89
71020,58.35,35.01,23.34
71021,70.56,42.34,28.22
71022,73.95,44.37,29.58
71023,84.12,50.47,33.65
71030,77.34,46.40,30.94
71034,130.95,78.57,52.38
71035,48.84,29.30,19.54
71100,55.64,33.38,22.26
71101,67.17,40.30,26.87
71110,73.95,44.37,29.58
71111,84.81,50.89,33.92
71120,58.35,35.01,23.34
71130,63.09,37.85,25.24
71250,467.46,327.22,140.24
71260,545.49,398.21,147.28
71270,665.58,499.18,166.40
71275,746.11,623.41,122.70
71550,830.45,664.36,166.09
71551,1073.47,944.89,128.58
71552,1908.79,1740.56,168.23
71555,844.70,675.76,168.94
72010,105.15,63.09,42.06
72020,40.02,24.01,16.01
72040,57.00,34.20,22.80
72050,83.46,50.08,33.38
72052,103.14,61.88,41.26
72069,50.88,30.53,20.35
72070,60.39,36.23,24.16
72072,65.82,39.49,26.33
72074,75.99,45.59,30.40
72080,61.74,37.04,24.70
72090,67.86,40.72,27.14
72100,61.74,37.04,24.70
72110,84.81,50.89,33.92
72114,106.53,63.92,42.61
72120,75.30,45.18,30.12
72125,467.46,327.22,140.24
72126,543.45,396.72,146.73
72127,655.40,491.55,163.85
72128,467.46,327.22,140.24
72129,543.45,396.72,146.73
72130,655.40,491.55,163.85
72131,467.46,327.22,140.24
72132,543.45,396.72,146.73
72133,655.40,491.55,163.85
72141,830.45,664.36,166.09
72142,995.99,796.79,199.20
72146,905.09,724.07,181.02
72147,995.99,796.79,199.20
72148,893.54,714.83,178.71
72149,983.12,786.50,196.62
