CPTCode,Total,OFF,FAC,TC27,PC26,FUD
30000,153.57, , , , ,0
30020,155.20, , , , ,0
30100,127.58, , , , ,15
30110,224.27, , , , ,15
30115,552.57, , , , ,15
30117,461.56, , , , ,15
30118,1350.56, , , , ,15
30120,925.56, , , , ,15
30124,340.48, , , , ,15
30125,969.44, , , , ,15
30130,378.67, , , , ,15
30140,494.87, , , , ,15
30150,1289.60, , , , ,45
30160,1604.90, , , , ,45
30200,90.21, , , , ,0
30210,101.58, , , , ,0
30220,234.04, , , , ,15
30300,113.77, , , , ,0
30310,276.29, , , , ,15
30320,677.72, , , , ,15
30400,1510.64, , , , ,90
30410,2118.46, , , , ,90
30420,2601.97, , , , ,90
30430,1002.77, , , , ,45
30435,1673.15, , , , ,45
30450,2285.06, , , , ,45
30460,1412.32, , , , ,45
30462,2827.06, , , , ,45
30465,1591.43, , , , ,45
30520,996.26, , , , ,45
30540,1101.09, , , , ,15
30545,1690.23, , , , ,15
30560,138.14, , , , ,0
30580,992.20, , , , ,45
30600,753.28, , , , ,45
30620,1036.88, , , , ,45
30630,1023.08, , , , ,45
30801,117.01, , , , ,0
30802,229.15, , , , ,15
30901,138.95, , , , ,0
30903,186.90, , , , ,0
30905,293.34, , , , ,0
30906,276.29, , , , ,0
30915,912.56, , , , ,15
30920,1360.30, , , , ,15
30930,150.34, , , , ,15
30999,BR, , , , ,0
31000,120.26, , , , ,0
31002,182.02, , , , ,0
31020,427.43, , , , ,45
31030,999.51, , , , ,45
31032,1111.64, , , , ,45
31040,1314.80, , , , ,90
31050,861.37, , , , ,45
31051,1168.54, , , , ,45
31070,681.78, , , , ,45
31075,1488.70, , , , ,90
31080,1563.46, , , , ,90
31081,1746.30, , , , ,90
31084,2147.71, , , , ,90
31085,2269.61, , , , ,90
31086,1786.12, , , , ,90
31087,1769.05, , , , ,90
31090,1785.30, , , , ,90
31200,726.48, , , , ,45
31201,1166.91, , , , ,45
31205,1381.44, , , , ,45
31225,2713.31, , , , ,90
31230,3349.58, , , , ,90
31231,192.59, , , , ,0
31233,388.43, , , , ,15
31235,393.30, , , , ,15
31237,496.50, , , , ,15
31238,580.20, , , , ,15
31239,1513.07, , , , ,15
31240,464.82, , , , ,15
31254,829.67, , , , ,45
31255,1244.92, , , , ,45
31256,551.77, , , , ,45
31267,843.49, , , , ,15
31276,1105.95, , , , ,15
31287,701.29, , , , ,15
31288,819.92, , , , ,15
31290,2291.56, , , , ,45
31291,2407.75, , , , ,45
31292,1860.88, , , , ,45
31293,2036.39, , , , ,45
31294,2326.50, , , , ,45
31295, ,"$4,020.40",$347.01, , ,0
31296, ,"$7,527.32",$414.41, , ,0
31297, ,"$7,456.62",$339.67, , ,0
31299,BR, , , , ,0
31300,1945.38, , , , ,90
31320,659.84, , , , ,45
31360,2701.11, , , , ,90
31365,3829.83, , , , ,90
31367,2831.12, , , , ,90
31368,3949.27, , , , ,90
31370,2790.50, , , , ,90
31375,2606.85, , , , ,90
31380,2797.01, , , , ,90
31382,2704.37, , , , ,90
31390,3872.08, , , , ,90
31395,4688.75, , , , ,90
31400,1321.30, , , , ,90
31420,1339.19, , , , ,90
31500,238.88, , , , ,0
31502,96.70, , , , ,0
31505,81.27, , , , ,0
31510,194.22, , , , ,15
31511,244.60, , , , ,0
31512,302.28, , , , ,0
31513,383.55, , , , ,0
31515,229.98, , , , ,0
31520,329.11, , , , ,0
31525,377.87, , , , ,0
31526,458.31, , , , ,0
31527,488.38, , , , ,15
31528,393.30, , , , ,0
31529,401.43, , , , ,0
31530,548.52, , , , ,0
31531,667.15, , , , ,0
31535,560.69, , , , ,15
31536,592.39, , , , ,15
31540,737.03, , , , ,15
31541,693.15, , , , ,15
31545,760.90, , , , ,0
31546,1157.49, , , , ,0
31560,815.86, , , , ,45
31561,975.12, , , , ,45
31570,690.72, , , , ,15
31571,667.15, , , , ,15
31575,208.02, , , , ,0
31576,352.67, , , , ,15
31577,440.43, , , , ,0
31578,515.19, , , , ,0
31579,359.18, , , , ,0
31580,1963.26, , , , ,90
31582,2940.84, , , , ,90
31584,2442.71, , , , ,90
31587,1188.04, , , , ,90
31588,1760.93, , , , ,90
31590,947.50, , , , ,90
31595,1127.89, , , , ,90
31599,BR, , , , ,0
31600,605.39, , , , ,15
31601,744.34, , , , ,15
31603,661.47, , , , ,15
31605,608.65, , , , ,15
31610,1144.14, , , , ,15
31611,965.38, , , , ,15
31612,162.51, , , , ,0
31613,507.07, , , , ,45
31614,1004.37, , , , ,45
31615,316.11, , , , ,0
31620, ,522.08,$154.50, , ,0
31622,434.99, , , , ,0
31623,442.80, , , , ,0
31624,446.90, , , , ,0
31625,492.03, , , , ,15
31626, ,$814.94,$411.32, , ,0
31627, ,"$2,224.84",$199.88, , , 
31628,591.16, , , , ,15
31629,522.70, , , , ,15
31630,592.39, , , , ,15
31631,571.90, , , , ,15
31632,,$141.73,$110.21, , ,0
31633,,$174.77,$138.25, , ,0
31634, ,"$3,571.57",$412.89, , ,0
31635,642.78, , , , ,0
31636,478.29, , , , ,0
31637,170.27, , , , ,0
31638,534.21, , , , ,0
31640,782.53, , , , ,15
31641,793.68, , , , ,15
31643,380.75, , , , ,0
31645,462.08, , , , ,0
31646,394.35, , , , ,0
31647, ,444.65,444.65, , ,0
31648, ,463.27,463.27, , ,0
31649, ,,, , ,0
31651, ,"
				$156.37","
				$156.37", , ,0
31660, ,445.52,"
				$445.52", , ,0
31661, ,470.05,470.05, , ,0
31717,196.09, , , , ,0
31720,124.07, , , , ,0
31725,231.75, , , , ,0
